"pIC50","RDKit Mol","Tier","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
7.954677021213342,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@@H]3CO)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","0.5",6.043800000000007,170.78559999999953,267.46865680436315,104.41000000000001,627.1370000000002,626.2183645199999,8,2,10,2,8,0,9,45,80,2,0,6,4,1,2,0,1,2,4,0,0,0.3055555555555556,25.79549898103011,15.37860358874496,11.79058558654973,8.63313352372867,6.155883275461459,15.000639115735733,11.383385459809125,8.337763958511633,5.91506818280342,-4.259999999999998,30.75278341929604,13.800273580067469,7.0284494239332105,18.947451815200196,53.624174036879474,19.75852033493841,18.254850067221383,34.23807908141099,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,29.160506604881608,5.261891554738487,4.899909730850477,0,45.2488863744513,26.36540229945133,105.63629559376567,0,40.194171629321886,11.600939890232516,29.160506604881608,4.899909730850477,0,5.261891554738487,0,47.99914230100217,71.49365162340966,30.761172201131718,29.366154470491818,37.926551524619484,11.49902366656781,0,0,0,36,0,1,0,0,0,0,1,1,4,2,45,15,0,1,22,12,0,10,14,8,2,2,0,0,5,7,0,0,18,15,0,0,0,1,5,0,0,0,0,2,1
5.853871964321762,"CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1","0",4.661120000000004,128.48340000000002,186.64449414105252,71.34,426.5160000000002,426.19434269199996,5,2,7,2,4,1,5,32,58,0,0,4,4,0,0,1,0,0,3,0,0,0.18518518518518517,18.274268445226745,10.700794822582283,7.809311647081291,5.480430998937679,3.8387927427447317,10.700794822582283,7.809311647081291,5.480430998937679,3.8387927427447317,-3.6999999999999984,21.528960181281835,9.622029666393203,4.787264289106465,16.062367599913202,18.996692541176657,11.339293589984397,6.923737199690624,18.050640183084614,82.0080929426645,0,33.41984625007246,0,0,0,0,9.211688121125169,0,10.633577208012662,0,20.392230805293824,13.08951281182515,94.14663538090569,0,22.450601893965427,16.876424085458545,15.05072814506601,9.589074368143644,0,0,0,54.59730361615449,41.310277303401826,38.187824977586956,5.386224214464796,11.343267560516683,5.428790391900541,5.907179729351506,0,0,27,0,0,0,0,0,0,2,0,2,1,32,10,2,0,12,11,0,7,8,5,2,2,0,0,4,5,1,0,13,9,0,0,0,0,4,0,0,0,0,2,1
7.826813731587726,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC[C@@H](O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","0.5",6.682900000000007,164.77879999999956,256.3094809377706,84.18,597.1110000000001,596.207799836,7,1,9,1,7,0,8,43,76,1,0,6,4,1,2,0,1,2,4,0,0,0.2857142857142857,24.770935116340528,14.803908118070073,11.312832790228875,8.184592093744795,5.792714149737401,14.425943645060846,10.90563266348827,7.889222528527757,5.551899057079362,-4.219999999999998,28.878870113681494,12.96709762931706,6.729081705220862,18.947451815200196,42.41368025429047,19.75852033493841,18.254850067221383,34.23807908141099,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,24.0539792100409,5.261891554738487,4.899909730850477,0,39.207045545303345,26.303276740850986,105.63629559376567,0,40.194171629321886,11.600939890232516,24.0539792100409,4.899909730850477,0,5.261891554738487,0,47.99914230100217,71.49365162340966,31.264087777896332,22.7592725059789,37.926551524619484,11.49902366656781,0,0,0,35,0,1,0,0,0,0,1,1,3,2,43,13,0,1,22,12,0,9,12,7,1,1,0,0,4,6,0,0,19,14,0,0,0,1,5,0,0,0,0,2,1
8,"Cc1c(COc2cc(OCc3ccnc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccc2ocnc2c1","0.5",6.834100000000006,161.80449999999965,253.23100892817553,130.5,597.0710000000001,596.182647708,9,2,11,2,8,0,10,43,72,0,0,5,5,0,0,2,0,0,3,0,0,0.21212121212121213,24.60526453671812,13.857644435959948,10.94430338757548,7.469626377477673,4.711421902166453,13.479679962950721,10.537103260834876,7.174256812260635,4.470606809508413,-4.909999999999999,29.577862645528562,12.531044658986467,6.777086961784605,14.790514511606428,26.582714977070314,24.55305751901023,18.254850067221383,41.795208361017686,77.67130469207305,5.022633313741326,22.226623842652494,0,0,11.49902366656781,11.600939890232516,23.79194142356597,5.261891554738487,15.284745645900745,0,46.06865718639362,0,106.2245210303975,0,28.695147962754074,28.66996603744287,18.997404239494152,10.111325788078153,9.967957041894415,5.261891554738487,0,35.866408164078955,78.92030439986492,24.371418537684256,5.022633313741326,47.53156287323399,11.976659640432764,0,0,5.9693052879518484,33,0,1,0,0,0,0,2,2,4,1,43,17,1,1,14,14,0,11,14,9,2,2,0,0,7,7,1,1,15,12,0,0,0,1,4,0,0,0,0,2,1
7.598599459218456,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","0.5",7.069100000000006,167.43249999999958,261.26686270474823,110.04,613.1100000000001,612.202714456,8,2,11,2,7,0,9,44,77,0,0,5,4,0,1,0,0,1,4,0,0,0.2571428571428571,25.533299198555163,14.561813682919857,11.418924844527503,7.798586652745217,5.002383363002039,14.18384920991063,11.011724717786898,7.503217087528178,4.761568270343998,-4.709999999999999,30.73814039477934,13.292294099438836,7.0791415386162875,24.264240419206526,29.82852186420174,24.55305751901023,18.254850067221383,41.66473185786623,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,28.84851639411272,5.261891554738487,5.316788604006331,0,46.06865718639362,13.213763929025836,105.63629559376567,0,40.194171629321886,17.570245178184365,24.0539792100409,10.111325788078153,0,5.261891554738487,0,47.99914230100217,78.92030439986492,18.17457496607118,16.655306118230595,43.46547677700282,11.49902366656781,0,0,5.9693052879518484,35,0,1,0,0,0,0,2,0,4,2,44,17,1,1,17,12,0,11,14,8,2,2,0,0,7,7,1,1,16,12,0,0,0,0,5,0,0,0,0,2,1
7.517126416391246,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","0.5",6.292800000000007,160.1617999999996,249.944538823374,84.18,583.0840000000002,582.1921497719999,7,1,9,1,7,0,8,42,73,0,0,6,4,1,2,0,1,2,4,0,0,0.2647058823529412,24.06382833515398,14.303908118070073,10.98312504371914,7.87498928546238,5.508605937874888,13.925943645060846,10.575924916978533,7.579619720245342,5.267790845216848,-4.219999999999998,27.92568551583594,12.336631416252558,6.166216648874233,18.947451815200196,42.41368025429047,19.75852033493841,18.254850067221383,27.817257458484978,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,24.0539792100409,5.261891554738487,4.899909730850477,0,32.78622392237734,26.303276740850986,105.63629559376567,0,40.194171629321886,11.600939890232516,24.0539792100409,4.899909730850477,0,5.261891554738487,0,47.99914230100217,65.07283000048365,31.264087777896332,22.7592725059789,37.926551524619484,11.49902366656781,0,0,0,34,0,1,0,0,0,0,1,1,3,2,42,13,0,1,21,12,0,9,12,7,1,1,0,0,4,6,0,0,18,14,0,0,1,0,5,0,0,0,0,2,1
6.148435917736512,"CCN1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1","0",7.253800000000009,176.2689999999995,270.00496508457115,67.19,624.1810000000002,623.2550843759999,7,0,10,0,7,0,8,45,83,0,0,6,4,1,2,0,1,2,4,0,0,0.32432432432432434,26.60779840952399,15.885002726632242,11.845628516050793,8.849217959602658,6.100526626341289,15.507038253623014,11.43842838931019,8.553848394385621,5.859711533683249,-4.219999999999999,30.791099869625494,14.256026727744347,7.36881295701816,18.947451815200196,55.737365420289656,19.75852033493841,18.254850067221383,34.7409946581756,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,18.947451815200196,5.261891554738487,9.799819461700954,0,33.60599473431966,45.93754595858871,105.63629559376565,0,40.194171629321886,11.600939890232516,23.847361546050674,4.899909730850477,0,5.261891554738487,0,54.922879500692794,71.61758640639624,44.353600589721474,16.655306118230595,37.926551524619484,11.49902366656781,0,0,0,37,0,1,0,0,0,0,1,2,2,2,45,14,0,1,23,12,0,10,11,7,0,0,0,0,4,7,0,0,20,14,0,0,0,0,6,0,0,0,0,2,1
6.648203693102976,"Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(C)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2","0",6.863700000000008,171.6519999999995,263.6400229701746,67.19000000000001,610.1540000000002,609.2394343120001,7,0,9,0,7,0,8,44,80,0,0,6,4,1,2,0,1,2,4,0,0,0.3055555555555556,25.900691628337448,15.30888177492882,11.714642686567673,8.532990193585817,5.842877504087145,14.930917301919592,11.307442559827068,8.23762062836878,5.602062411429106,-4.219999999999998,29.834049762612953,13.607009315201468,6.945656792215888,18.947451815200196,56.24028099705427,19.75852033493841,18.254850067221383,27.817257458484978,72.79640482153933,5.022633313741326,11.126902983393991,0,0,22.99804733313562,11.600939890232516,18.947451815200196,5.261891554738487,9.799819461700954,0,26.682257534629038,46.44046153535332,105.63629559376567,0,40.194171629321886,11.600939890232516,23.847361546050674,4.899909730850477,0,5.261891554738487,0,47.99914230100217,72.12050198316085,44.35360058972148,16.655306118230595,37.926551524619484,11.49902366656781,0,0,0,36,0,1,0,0,0,0,1,2,2,2,44,13,0,1,23,12,0,9,11,7,0,0,0,0,4,6,0,0,20,14,0,0,0,0,6,0,0,0,0,2,1
5.029932203450864,"Cc1c(COc2ccc3nc(CN)c(NC(C)c4ccccc4)n3c2)cccc1-c1ccccc1.Cl","0",6.942320000000007,149.75809999999976,217.92159604850798,64.58,499.05800000000005,498.21863929200003,5,3,8,2,5,0,6,36,67,1,1,5,5,0,0,2,0,0,3,0,0,0.16666666666666666,21.333938760641733,11.93022384862347,8.725337712846004,6.434845522909989,4.41590994574628,11.93022384862347,8.725337712846004,6.434845522909989,4.41590994574628,-3.799999999999999,25.297623966942155,11.291744575482928,5.2251458997897755,15.787319034968565,9.384673127209002,13.151638370425493,6.923737199690624,35.349860498778035,97.19234959853726,0,16.77408020416172,0,5.817862777835028,5.749511833283905,12.407033161179976,4.736862953800049,0,9.384673127209002,5.733667477162185,33.0409535989547,5.316788604006331,119.57663206847673,0,16.876414816677897,23.87207315978273,15.787319034968565,4.400694606261793,4.983978520947208,0,12.407033161179976,78.86277189000094,53.79746599478944,12.586597235060536,11.890771566461538,23.821433796399578,0,0,0,0,30,0,1,0,0,0,0,2,2,1,0,36,11,0,0,14,14,0,8,6,5,3,2,0,0,3,4,1,0,17,10,0,0,0,1,4,0,0,0,0,2,1
4.182699121606679,"COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OCc1ccc(CN2CCCCC2C(=O)NCCN)cc1","0",4.8998000000000035,168.90709999999962,254.06806597465956,104.51,589.7330000000002,589.3151860959999,9,3,14,2,8,1,9,43,86,1,1,4,3,1,1,0,1,1,3,0,0,0.38235294117647056,25.559111087240645,14.577684694585766,10.3692330325886,7.505826919827292,5.226632917947732,14.577684694585766,10.3692330325886,7.505826919827292,5.226632917947732,-4.21,31.71968173860792,15.859618279918466,8.427067538286645,34.73477085016876,64.9223896721978,17.946175554497316,0,41.51627083556602,54.59730361615449,0,12.152040213667762,0,0,28.747559166419524,0,28.478851953072066,0,10.216698334856808,5.733667477162185,38.45594406835148,48.07345938284785,76.85110958294248,0,28.747559166419524,18.05921994301927,34.73477085016876,9.694446914922299,0,0,0,48.90469717890182,65.90567389239902,19.634269217737724,34.48103099425809,6.606881964512918,22.99804733313562,11.65669156263541,0,0,34,0,0,0,0,0,0,2,1,6,0,43,20,2,0,15,9,0,14,15,9,3,2,0,0,6,12,1,0,13,11,0,0,0,0,4,0,0,0,0,0,0
