RDKit Mol,pIC50,Prediction (pIC50),Prediction (pIC50) (Prediction Variance)
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CN(C)CCO,8.075720714,7.10557674,1.436866053
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CN[C@H](C)CO,8.301029996,7.170574961,1.200941021
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CNCCCO,8.13076828,7.160890222,1.25342668
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CN1CC[C@@H](O)C1,8.070581074,7.14134752,1.602901028
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1CNCCN,7.677780705,7.116869648,1.474601295
COc1cccc(-c2cccc(-c3ccc(CNCCO)c(OC)n3)c2C)c1,7.886056648,7.368598896,1.55406224
COc1nc(-c2cccc(-c3ccc4c(c3)OCO4)c2C)ccc1CNCCO,7.886056648,7.477606653,1.4450751
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2C)ccc1CNCCO,8.102372909,7.564098644,1.384411465
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2C)ccc1CNCCNC(C)=O,7.853871964,7.427711113,1.574323286
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2C)ccc1CN[C@@H](CO)C(=O)O,8,7.456798568,1.431815962
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2C)ccc1CNCCN,7.769551079,7.442677502,1.69570549
COc1nc(-c2cccc(-c3ccc4c(c3)OCCO4)c2C)ccc1CNCCCO,8.113509275,7.505907114,1.50016828
COC(=O)c1ccc(-c2cccc(-c3ccccc3)c2C)nc1OC,6.4867824,6.943225769,2.0913634
COc1nc(-c2cccc(-c3ccccc3)c2C)ccc1C(=O)NCCO,6.485452247,7.115526453,1.638376448
Cc1c(COc2ccc(CNCCO)n3cnnc23)cccc1-c1ccc2c(c1)OCCO2,7.036212173,6.692373327,0.872888137
Cc1c(COc2ccc(CN[C@H](CO)C(=O)O)c(OCc3cncc(C#N)c3)n2)cccc1-c1ccccc1,7.920818754,7.241611637,0.919987221
Cc1c(COc2ccc(CN3CCCC[C@H]3C(=O)NCCN)c(OCc3cccc(C#N)c3)c2)cccc1-c1ccccc1,8.040958608,6.747577453,1.734787756
COc1cc(C(=O)N2CCC3C(c4ccccc4)=CC=CC32)ccc1CNCCO,6.879426069,6.404361592,1.408381514
O=C(Nc1ccc(CNCCO)cn1)c1cccc(-c2ccccc2)c1Cl,6.299296283,6.847059364,1.020271305
COCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1,6.098541679,6.893612769,1.559029207
O=C(Nc1ccc(CNC[C@@H](O)CO)cn1)c1cccc(-c2ccccc2)c1Cl,6.354577731,6.886124986,1.142165686
O=C(Nc1ccc(CN2CCC(O)CC2)cn1)c1cccc(-c2ccccc2)c1Cl,6.337242168,6.958650414,1.41014515
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1,6.304518324,6.629798219,1.187086203
O=C(Nc1ccc(CN2CC[C@@H](O)C2)cn1)c1cccc(-c2ccccc2)c1Cl,6.428291168,6.98513069,1.340445071
